ticket_id,company,subject,issue,status,product_area,response,justification,request_type
T001,HackerRank,How do I change my display name?,I want to update my display name on my HackerRank profile but can't find the option.,replied,candidate_account,"To change your display name, log in to HackerRank, click your profile picture in the top right, go to Profile, then click Edit Profile. Update your Name field and click Save Changes. Note that your username used in URLs cannot be changed after account creation.",Standard self-serve account settings question answered from candidate account documentation.,product_issue
T002,Claude,Forgot password and can't get back in,I forgot my Claude password and can't log in. Please help me reset it.,replied,account,"To reset your Claude password, go to claude.ai/login and click Forgot password. Enter your registered email address, then check your inbox for a reset link which expires in 30 minutes. If you don't see the email, check your spam folder.",Straightforward password reset request answered from account documentation.,product_issue
T003,Visa,Unauthorized charge on my card,There is a $300 charge from an online store I have never heard of. I did not make this purchase. Please reverse this charge immediately.,escalated,security,"This ticket has been escalated to a human specialist due to: fraud, financial_dispute.",Suspected unauthorized transaction requires human investigator and chargeback initiation.,product_issue
T004,HackerRank,My solution gives wrong answer but works locally,My Python solution passes all sample test cases but gets wrong answer on hidden ones. I have tested it with many inputs and it seems correct.,replied,assessments,"Hidden test cases often test edge cases not shown in the samples. Common issues include: off-by-one errors, not handling empty input or single-element arrays, integer overflow for large inputs, or trailing spaces in output. Re-read the problem constraints carefully and test your solution against extreme values.",Standard debugging guidance for hidden test case failures from assessments documentation.,bug
T005,Claude,Can you add dark mode to Claude?,I would love a dark mode option for the Claude interface. My eyes hurt using the bright white background at night. Please add this feature.,escalated,claude_apps,This ticket has been escalated to a human specialist due to: feature request.,Feature requests are not handled via automated replies and are routed to the product team.,feature_request
T006,Visa,How do I report my lost card?,I cannot find my Visa card and I am worried it might have been stolen. What steps should I take?,replied,lost_or_stolen,"Report your lost or stolen card immediately to prevent unauthorized use. Call the 24/7 number on the back of your card or use your card issuer's mobile app — go to Cards, select your card, and choose Report Lost or Stolen. This blocks the card immediately. A replacement card will be mailed within 5–7 business days. Visa's Zero Liability Policy protects you from unauthorized charges when reported promptly.",Standard lost card reporting procedure answered from lost-or-stolen documentation.,product_issue
T007,HackerRank,Accused of cheating on my assessment,The company flagged my assessment for plagiarism but I wrote every line myself. I am deeply upset and want to appeal this decision.,escalated,assessments,This ticket has been escalated to a human specialist due to: assessment_integrity.,Plagiarism/cheating appeals require human review; HackerRank support cannot override decisions.,product_issue
T008,Claude,How do I cancel my Claude Pro subscription?,I want to cancel my Claude Pro subscription. Can you tell me how to do that and whether I get a refund?,replied,billing_and_plans,"To cancel your Claude Pro subscription, go to Settings, then Billing, and click Cancel subscription. Your Pro features will remain active until the end of your current billing period. Note that no refunds are issued for partial months.",Subscription cancellation process and refund policy answered from billing documentation.,product_issue
T009,Visa,Can I use my Visa card in Europe?,I am traveling to France next month and want to know if my Visa card will work there and if there are extra fees.,replied,travel,"Visa cards are accepted in 200+ countries including France. To avoid having your card declined, notify your bank before you travel by adding a Travel Notice in your online banking or mobile app. Your card may have a foreign transaction fee of 1%–3% — check your cardholder agreement. When paying at merchants, always choose to pay in the local currency (euros) rather than your home currency to avoid poor Dynamic Currency Conversion rates.",International card usage guidance answered from travel and international transactions documentation.,product_issue
T010,HackerRank,My IDE is frozen during the test,The in-browser IDE stopped responding 20 minutes into my coding test. I cannot type or submit. Help urgently.,replied,coding_environment,"If the IDE freezes, do NOT close the tab as this may affect your attempt. Wait 30 seconds for it to recover. If still frozen, hard-refresh the page using Ctrl+Shift+R (Windows/Linux) or Cmd+Shift+R (Mac) — your saved code will be restored. The IDE auto-saves every 30 seconds when online. If you lost significant progress due to the issue, document it and contact the recruiting company directly for a manual review.",IDE freeze troubleshooting steps from coding environment documentation.,bug
T011,Claude,My account has been suspended,I cannot log in to Claude and it says my account has been suspended. I have not done anything wrong. Please restore my access.,escalated,account,This ticket has been escalated to a human specialist due to: account_security.,Account suspension requires human review of the specific violation before restoration.,product_issue
T012,Visa,How do I change my PIN?,I want to change my Visa card PIN. I know my current PIN but want to update it to something easier to remember.,replied,card_management,"You can change your PIN at any Visa-affiliated ATM: insert your card, enter your current PIN, then select PIN Change from the menu and enter your new PIN. Many issuers also allow PIN changes through their mobile app under Card Settings, through online banking, or by calling the number on the back of your card.",Standard PIN change procedure answered from PIN management documentation.,product_issue
T013,HackerRank,asdf asdf asdf,lol nothing just testing 123,escalated,out_of_scope,"This ticket does not appear to be a valid support request. If you have a real issue, please submit a new ticket with a clear description.",Gibberish content — not an actionable support request.,invalid
T014,Claude,How many messages can I send per day on the free plan?,I am on the free plan and want to know exactly how many messages I can send before I hit the daily limit.,replied,billing_and_plans,"On the free plan, the exact number of messages per day is not fixed — it varies based on message length, the model used, and current platform demand. When you reach your limit, you will see a message saying you have reached your daily limit, which resets after 24 hours. Upgrading to Claude Pro provides approximately 5 times more messages than the free plan.",Usage limits for the free plan explained from billing and usage limits documentation.,product_issue
T015,Visa,Lawyer notice — I am taking legal action,I have been incorrectly charged for months and my disputes have been ignored. My lawyer will be in contact. This is your last chance to resolve this before I file a lawsuit.,escalated,security,"This ticket has been escalated to a human specialist due to: legal, financial_dispute.",Legal threat requires immediate escalation to compliance and legal team.,product_issue
