ticket_id,company,subject,issue,status,product_area,response,justification,request_type
T001,HackerRank,How do I change my display name?,I want to update my display name on my HackerRank profile but can't find the option.,replied,candidate_account,"To change your display name on HackerRank, log in to your account, click your profile picture at the top right, then 'Profile', followed by 'Edit Profile'. Update the 'Name' field with your desired display name and click 'Save Changes'.","The ticket asks about updating the display name, which is directly addressed in the 'Changing Your Display Name' section of the candidate account settings chunk.",product_issue
T002,Claude,Forgot password and can't get back in,I forgot my Claude password and can't log in. Please help me reset it.,replied,account,"To reset your Claude password, go to the Claude login page at claude.ai/login and click 'Forgot password?'. Enter your registered email address and check your inbox for a reset link, which expires in 30 minutes. If you don't receive the email within a few minutes, check your spam folder.","The ticket asks about password reset, and the cited chunks describe the exact self-serve flow on the login page.",product_issue
T003,Visa,Unauthorized charge on my card,There is a $300 charge from an online store I have never heard of. I did not make this purchase. Please reverse this charge immediately.,escalated,visa:sensitive,"This ticket has been escalated to a human specialist due to: fraud, financial_dispute.",Suspected unauthorized transaction; chargeback requires human investigator and identity verification.,product_issue
T004,HackerRank,My solution gives wrong answer but works locally,My Python solution passes all sample test cases but gets wrong answer on hidden ones. I have tested it with many inputs and it seems correct.,replied,assessments,"Your solution may be correct but still failing due to issues like off-by-one errors, edge cases, or inefficient algorithms. Check the problem constraints carefully, test with sample inputs, and review your algorithm complexity. Also, ensure your output matches the expected format, and avoid repeated work or excessive memory allocation.","Ticket asks about a solution working locally but failing on hidden test cases; cited chunks describe common issues with test cases, scoring, and coding environment troubleshooting.",bug
T005,Claude,Can you add dark mode to Claude?,I would love a dark mode option for the Claude interface. My eyes hurt using the bright white background at night. Please add this feature.,escalated,claude:sensitive,This ticket has been escalated to a human specialist due to: policy.,Feature request without product context; route to product feedback channel.,feature_request
T006,Visa,How do I report my lost card?,I cannot find my Visa card and I am worried it might have been stolen. What steps should I take?,replied,lost_or_stolen,"To report a lost Visa card, call the 24/7 number on the back of your card, or your issuer's main customer service line. You can also report it through your card issuer's mobile app or online banking. This will block the card immediately and prevent unauthorized use. If you notice unauthorized transactions, report them promptly to be covered under Visa's Zero Liability Policy.",Ticket asks about reporting a lost card; cited chunks describe the exact steps to report a lost card and the benefits of Visa's Zero Liability Policy.,product_issue
T007,HackerRank,Accused of cheating on my assessment,The company flagged my assessment for plagiarism but I wrote every line myself. I am deeply upset and want to appeal this decision.,escalated,hackerrank:sensitive,This ticket has been escalated to a human specialist due to: assessment_integrity.,"Plagiarism appeal requires human review; HackerRank cannot override automated detection. This is a product policy dispute, not a bug.",product_issue
T008,Claude,How do I cancel my Claude Pro subscription?,I want to cancel my Claude Pro subscription. Can you tell me how to do that and whether I get a refund?,replied,billing_and_plans,"To cancel your Claude Pro subscription, go to Settings > Billing and click 'Cancel subscription'. Your Pro features will remain active until the end of the billing period. Unfortunately, no refunds are given for partial months.",Ticket asks about cancelling a subscription and refund policy; cited chunks describe the exact steps to cancel and the refund policy for Pro users.,product_issue
T009,Visa,Can I use my Visa card in Europe?,I am traveling to France next month and want to know if my Visa card will work there and if there are extra fees.,replied,card_management,"Visa cards are widely accepted in 200+ countries and territories. However, some cards may charge a foreign transaction fee of 1%–3% of the purchase amount when used abroad. To avoid this fee, choose to pay in the local currency instead of your home currency. Additionally, notify your bank before traveling to avoid having your card declined. If your card is declined, try a different ATM or terminal, call the international collect number on the back of your card, or have a backup payment method.","Ticket asks about using a Visa card in Europe; cited chunks describe international transactions, foreign transaction fees, and card activation.",product_issue
T010,HackerRank,My IDE is frozen during the test,The in-browser IDE stopped responding 20 minutes into my coding test. I cannot type or submit. Help urgently.,replied,coding_environment,"If your IDE freezes during a test, don't close the tab. Wait 30 seconds for it to recover. If still frozen, hard-refresh (Ctrl+Shift+R / Cmd+Shift+R). If you lose progress, contact the recruiting company to explain the situation. Your code is auto-saved every 30 seconds, so reopening the assessment link from your email should restore your progress if you saved before closing.",Ticket asks about IDE freezing during a test; cited chunks describe troubleshooting steps and auto-save behavior.,bug
T011,Claude,My account has been suspended,I cannot log in to Claude and it says my account has been suspended. I have not done anything wrong. Please restore my access.,escalated,claude:sensitive,This ticket has been escalated to a human specialist due to: account_security.,Account suspension requires human verification before restore; cannot self-serve safely.,product_issue
T012,Visa,How do I change my PIN?,I want to change my Visa card PIN. I know my current PIN but want to update it to something easier to remember.,replied,card_management,"To change your Visa card PIN, visit an ATM affiliated with your issuing bank, insert your card, and enter your current PIN. Then, select 'PIN Change' and enter your new 4-6 digit PIN. Confirm the new PIN. Alternatively, you can change your PIN through your issuer's mobile app, online banking, or by calling the number on the back of your card.",Ticket asks about changing the PIN; cited chunks describe the exact self-serve flow on the ATM and alternative methods through the issuer's services.,product_issue
